Choose the category that suits you most.,Area of Study,What is your current level of study?,What year of study are you in?,In which county is your institution located?,What is the ownership nature of your institution?,How satisfied are you with the quality of training provided in your course?,Training Aspects:Teaching quality,Clinical exposure,Assessment Methods,Learning Resources,Support from faculty,How do you perceive your career opportunities after qualification?,How satisfied are you with expected remuneration after qualification?,How do you view your prospects for career progression after qualification?,Who played the strongest role in influencing your decision to choose your current course?,Other (please specify),Did you receive any structured career guidance before choosing this course?,How satisfied were you with the career guidance you received before selecting this course?,"In hindsight, do you feel the guidance you received was sufficient to help you make an informed decision?",What type of additional guidance would have better supported your career choice?,Other (please specify),Was a health science course your first choice?,Factors in your career choice:Personal interest,Work-life balance,Income and job security,Prestige,Family expectations,Opportunities for advancement,Desire to serve the society,Where do you intend to work after graduation?,How likely are you to seek employment outside Kenya within the first 5 years after graduation?,"If you intend to migrate, please rank the following reasons in order of importance : Better remuneration",Better working conditions,Career growth opportunities,Desire for specialization training,Family relocation,Political/economic stability,Personal preference,"Knowing what you know now, would you still choose to study the same course?",Have you ever considered dropping out of the health science course?,Affect your medical training experience: Stress,Long journey/commute,Feeling emotionally drained,High workload,Frequent examinations,High faculty demands,Dislocation from family and friends,Financial strains,Loss of interest in the course,Inadequate role models,Experience of verbal or physical violence,I feel supported by my institution,I am confident in my clinical skills,Would you recommend this course to a friend or family member?
Student,Nursing and midwifery,Diploma,2nd,Kiambu,Public,Satisfied,Good,Excellent,Neutral,Neutral,Neutral,Good,Neither satisfied nor dissatisfied,Excellent,Other (please specify),"I chose Nursing because I am passionate about caring for others, improving lives, and serving humanity with compassion, skill, and dedication.","No, I did not receive career guidance",,,,,Yes,Important,Important,Important,Moderately important,Somewhat important,Very Important,Very Important,Abroad,Likely,1,3,2,4,6,7,5,Yes,Never,3,7,2,1,5,4,6,8,10,9,11,Agree,Strongly agree,Yes
Student,Health Records,Diploma,2nd,Meru,Public,Satisfied,Good,Good,Good,Good,Good,Very Good,Satisfied,Good,A healthcare professional or mentor,,"Some guidance, but informal",Satisfied,Yes,Exposure to healthcare professionals,,Yes,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,In my home country,Likely,1,6,2,3,4,5,7,Yes,Never,3,5,6,4,2,7,9,1,10,8,11,Agree,Agree,Yes
Student,Medicine and Surgery,Diploma,3rd,Isiolo,Public,Neither satisfied nor dissatisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Satisfied,Excellent,Parents/Family,,"Some guidance, but informal",Satisfied,Somewhat,Information on remuneration and working conditions,,Yes,Very Important,Very Important,Very Important,Not important,Not important,Very Important,Very Important,Abroad,Neither likely nor unlikely,1,4,3,2,7,5,6,No,Sometimes,5,7,6,9,3,1,10,11,4,8,2,Neutral,Strongly disagree,Not Sure
Student,Community health ,Diploma,3rd,Isiolo,Public,Very satisfied,Good,Neutral,Neutral,Good,Good,Poor,Neither satisfied nor dissatisfied,Neutral,Teachers/School Counsellors,,"No, I did not receive career guidance",,,,,Yes,Somewhat important,Moderately important,Important,Important,Moderately important,Important,Important,Undecided,Very likely,1,3,2,4,6,5,7,No,Usually,2,5,3,1,4,8,6,7,9,10,11,Disagree,Agree,No
Student,Nursing and midwifery,Diploma,2nd,Isiolo,Public,Satisfied,Good,Neutral,Good,Good,Good,Good,Satisfied,Good,My own personal research,,"Some guidance, but informal",Satisfied,Yes,Career counselling sessions,,Yes,Important,Important,Important,Important,Important,Important,Important,Abroad,Likely,4,1,3,2,5,6,7,Yes,Rarely,1,2,5,3,6,4,7,8,9,10,11,Agree,Agree,Yes
Student,Medicine and Surgery,Undergraduate,1st,Nairobi,Public,Satisfied,Neutral,Neutral,Good,Good,Neutral,Good,Very satisfied,Good,Parents/Family,,"No, I did not receive career guidance",,,,,Yes,Moderately important,Moderately important,Somewhat important,Not important,Somewhat important,Important,Very Important,In my home country,unlikely,1,2,3,4,5,6,7,Yes,Sometimes,1,7,2,5,6,3,8,4,10,9,11,Neutral,Neutral,Yes
Student,Nursing and midwifery,Diploma,1st,Isiolo,Public,Very dissatisfied,Excellent,Excellent,Good,Good,Good,Very Good,Very satisfied,Excellent,My own personal research,,"Yes, formal/structured guidance",Very satisfied,Yes,Exposure to healthcare professionals,,Yes,Very Important,Very Important,Very Important,Important,Important,Important,Very Important,In my home country,Likely,4,3,2,6,1,7,5,Yes,Never,3,8,9,4,5,2,6,1,11,7,10,Strongly agree,Agree,Yes
Student,Community health and health promotion,Diploma,3rd,Isiolo,Public,Very satisfied,Good,Excellent,Good,Excellent,Excellent,Neutral,Satisfied,Good,A healthcare professional or mentor,,"Some guidance, but informal",Neither satisfied nor dissatisfied,No,Career counselling sessions,,Yes,Very Important,Important,Important,Moderately important,Moderately important,Important,Very Important,In my home country,Neither likely nor unlikely,1,2,5,3,6,4,7,Yes,Never,3,2,4,7,9,8,11,1,10,6,5,Strongly agree,Strongly agree,Not Sure
Student,Medicine and Surgery,Undergraduate,2nd,Uasin Gishu,Public,Satisfied,Good,Excellent,Good,Good,Good,Good,Satisfied,Good,Parents/Family,,"Some guidance, but informal",Satisfied,Somewhat,Exposure to healthcare professionals,,Yes,Very Important,Important,Very Important,Somewhat important,Important,Very Important,Very Important,Undecided,Neither likely nor unlikely,1,2,3,5,6,4,7,Yes,Rarely,1,2,5,4,6,8,7,3,9,10,11,Neutral,Neutral,Not Sure
Student,Clinical Medicine,Diploma,3rd,Isiolo,Public,Satisfied,Good,Excellent,Excellent,Good,Neutral,Neutral,Satisfied,Good,My own personal research,,"Some guidance, but informal",Satisfied,Yes,More information on job prospects,,Yes,Very Important,Important,Important,Moderately important,Important,Very Important,Very Important,In my home country,Likely,4,3,2,1,7,5,6,Yes,Never,5,4,3,7,9,2,10,1,11,8,6,Agree,Agree,Yes
Student,Medicine and Surgery,Undergraduate,3rd,Isiolo,Public,Satisfied,Good,Neutral,Good,Neutral,Neutral,Good,Satisfied,Good,Parents/Family,,"Some guidance, but informal",Satisfied,Somewhat,Career counselling sessions,,No,Somewhat important,Important,Important,Important,Important,Very Important,Very Important,Abroad,Neither likely nor unlikely,2,3,5,4,6,7,1,No,Sometimes,1,11,2,3,9,4,8,5,7,6,10,Neutral,Neutral,Not Sure
Student,Nursing and midwifery,Diploma,4th,Nairobi,Private for profit,Very satisfied,Excellent,Excellent,Excellent,Good,Good,Neutral,Very dissatisfied,Neutral,My own personal research,,"Yes, formal/structured guidance",Neither satisfied nor dissatisfied,Yes,Information on remuneration and working conditions,,Yes,Very Important,Very Important,Very Important,Important,Important,Very Important,Important,Undecided,Very likely,2,1,3,4,6,7,5,Not sure,Rarely,1,7,3,4,9,10,6,2,11,5,8,Agree,Agree,No
Student,Certified nursing assistant ,Certificate,1st,Uasin Gishu,Private for profit,Very satisfied,Excellent,Excellent,Excellent,Excellent,Excellent,Very Good,Very satisfied,Excellent,My own personal research,,"No, I did not receive career guidance",,,,,Prefer not to say,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Abroad,Very likely,6,4,1,2,7,5,3,Yes,Never,11,7,6,10,5,4,8,1,9,2,3,Agree,Agree,Yes
Student,Nursing and midwifery,Undergraduate,2nd,Uasin Gishu,Public,Very satisfied,Excellent,Good,Excellent,Good,Good,Good,Satisfied,Good,Teachers/School Counsellors,,"Yes, formal/structured guidance",Satisfied,Yes,Better understanding of academic demands,,Yes,Important,Important,Important,Important,Important,Very Important,Very Important,Undecided,Likely,2,4,5,3,7,6,1,Yes,Never,3,7,4,2,6,5,8,1,11,9,10,Agree,Agree,Yes
Student,Medicine and Surgery,Undergraduate,5th and above,Nairobi,Public,Dissatisfied,Neutral,Good,Good,Poor,Poor,Good,Dissatisfied,Good,Peers/Friends,,"No, I did not receive career guidance",,,,,Yes,Very Important,Important,Very Important,Moderately important,Somewhat important,Very Important,Very Important,Undecided,Very likely,3,2,1,6,7,4,5,Yes,Never,1,3,2,5,6,7,10,11,9,8,4,Strongly disagree,Disagree,No
Student,Medicine and Surgery,Undergraduate,1st,Kiambu,Private for profit,Neither satisfied nor dissatisfied,Neutral,Good,Good,Excellent,Neutral,Good,Satisfied,Excellent,My own personal research,,"Yes, formal/structured guidance",Very satisfied,Yes,Better understanding of academic demands,,Yes,Very Important,Important,Very Important,Important,Very Important,Very Important,Very Important,Abroad,Likely,5,2,1,3,7,4,6,Yes,Never,3,7,4,1,2,8,5,10,11,9,6,Agree,Agree,Yes
Student,Medicine and Surgery,Undergraduate,1st,Kilifi,Public,Dissatisfied,Neutral,Neutral,Poor,Poor,Neutral,Neutral,Dissatisfied,Good,My own personal research,,"Some guidance, but informal",Neither satisfied nor dissatisfied,Yes,Information on remuneration and working conditions,,Yes,Very Important,Important,Very Important,Moderately important,Important,Important,Moderately important,Undecided,Likely,1,2,4,3,7,5,6,Yes,Never,8,4,6,5,7,3,2,1,9,11,10,Neutral,Neutral,Yes
Student,Medicine and Surgery,Undergraduate,5th and above,Nairobi,Public,Satisfied,Good,Good,Good,Neutral,Neutral,Good,Satisfied,Good,My own personal research,,"No, I did not receive career guidance",,,,,Yes,Very Important,Important,Very Important,Moderately important,Moderately important,Important,Important,Abroad,Very likely,1,3,4,5,7,6,2,Yes,Never,1,5,3,2,6,4,7,8,9,10,11,Agree,Agree,Yes
Student,Medicine and Surgery,Undergraduate,2nd,Meru,Private not for profit (Faith Based),Satisfied,Good,Neutral,Poor,Neutral,Good,Good,Neither satisfied nor dissatisfied,Neutral,My own personal research,,"Yes, formal/structured guidance",Very satisfied,Yes,Exposure to healthcare professionals,,Yes,Very Important,Important,Moderately important,Moderately important,Moderately important,Important,Very Important,In my home country,Neither likely nor unlikely,1,3,2,4,7,6,5,Yes,Rarely,1,2,3,4,5,7,11,8,9,10,6,Agree,Disagree,Yes
Student,Medicine and Surgery,Undergraduate,3rd,Nairobi,Public,Neither satisfied nor dissatisfied,Good,Poor,Poor,Good,Very Poor,Good,Satisfied,Good,Parents/Family,,"Yes, formal/structured guidance",Satisfied,Yes,Career counselling sessions,,Yes,Moderately important,Moderately important,Important,Important,Moderately important,Important,Important,In my home country,unlikely,1,2,3,4,5,6,7,Yes,Sometimes,1,2,3,4,5,6,7,8,9,11,10,Neutral,Agree,Yes
Student,Medicine and Surgery,Undergraduate,3rd,Uasin Gishu,Public,Satisfied,Neutral,Good,Good,Neutral,Neutral,Neutral,Satisfied,Good,My own personal research,,"Some guidance, but informal",Satisfied,Yes,Better understanding of academic demands,,Yes,Very Important,Important,Important,Moderately important,Important,Very Important,Very Important,In my home country,Neither likely nor unlikely,4,1,2,3,6,5,7,Yes,Sometimes,5,6,4,2,1,3,7,8,10,9,11,Neutral,Agree,Yes
Student,Medicine and Surgery,Undergraduate,2nd,Nairobi,Public,Satisfied,Good,Good,Poor,Neutral,Poor,Neutral,Dissatisfied,Good,Parents/Family,,"Some guidance, but informal",Satisfied,Yes,Exposure to healthcare professionals,,Yes,Moderately important,Somewhat important,Moderately important,Very Important,Very Important,Important,Very Important,In my home country,Likely,3,4,1,2,5,6,7,Yes,Sometimes,3,8,7,2,6,5,9,1,4,10,11,Neutral,Disagree,Yes
Student,Clinical Medicine,Undergraduate,3rd,Meru,Public,Satisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Good,Satisfied,Good,Parents/Family,,"Yes, formal/structured guidance",Satisfied,Yes,Exposure to healthcare professionals,,Yes,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Undecided,Neither likely nor unlikely,6,1,2,3,5,7,4,Yes,Rarely,1,5,3,2,7,4,9,6,10,8,11,Agree,Agree,Yes
Student,Laboratory sciences,Undergraduate,4th,Kiambu,Private for profit,Satisfied,Good,Good,Good,Excellent,Good,Good,Neither satisfied nor dissatisfied,Good,Parents/Family,,"No, I did not receive career guidance",,,,,Yes,Moderately important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Abroad,Very likely,1,2,3,4,5,7,6,No,Sometimes,7,4,3,2,8,5,6,1,9,10,11,Neutral,Strongly agree,Not Sure
Student,Medicine and Surgery,Undergraduate,5th and above,Uasin Gishu,Public,Satisfied,Good,Excellent,Good,Neutral,Excellent,Good,Satisfied,Good,My own personal research,,"No, I did not receive career guidance",,,,,Yes,Important,Important,Very Important,Moderately important,Important,Important,Important,Undecided,Neither likely nor unlikely,1,2,3,4,7,6,5,No,Rarely,3,4,6,2,5,7,8,1,9,10,11,Neutral,Agree,Yes
Student,Medicine and Surgery,Undergraduate,2nd,Uasin Gishu,Public,Very satisfied,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Neither satisfied nor dissatisfied,Good,Parents/Family,,"Yes, formal/structured guidance",Satisfied,Yes,Better understanding of academic demands,,Yes,Very Important,Very Important,Very Important,Moderately important,Moderately important,Very Important,Very Important,In my home country,Very unlikely,3,2,1,4,6,5,7,Yes,Never,1,7,2,3,5,4,8,6,11,10,9,Strongly agree,Strongly agree,Yes
Student,Medicine and Surgery,Undergraduate,4th,Kakamega,Public,Satisfied,Good,Good,Good,Good,Good,Good,Satisfied,Excellent,My own personal research,,"Some guidance, but informal",Very satisfied,Somewhat,Career counselling sessions,,Yes,Very Important,Important,Very Important,Important,Important,Very Important,Very Important,In my home country,Neither likely nor unlikely,4,3,1,2,5,6,7,Yes,Never,3,8,5,2,4,7,6,1,11,9,10,Agree,Agree,Yes
Student,Medicine and Surgery,Undergraduate,2nd,Uasin Gishu,Public,Neither satisfied nor dissatisfied,Neutral,Good,Good,Good,Neutral,Very Good,Satisfied,Good,Teachers/School Counsellors,,"Some guidance, but informal",Satisfied,Yes,Career counselling sessions,,Yes,Very Important,Very Important,Very Important,Important,Important,Very Important,Very Important,In my home country,Very unlikely,4,2,3,1,5,7,6,Yes,Never,1,2,3,4,5,6,7,8,11,10,9,Disagree,Neutral,Yes
Student,Nursing and midwifery,Undergraduate,4th,Nairobi,Public,Satisfied,Neutral,Excellent,Excellent,Good,Neutral,Neutral,Dissatisfied,Good,My own personal research,,"Some guidance, but informal",Dissatisfied,Somewhat,Career counselling sessions,,Yes,Very Important,Very Important,Important,Not important,Somewhat important,Very Important,Very Important,Abroad,Likely,2,1,3,4,7,5,6,Yes,Rarely,5,10,3,1,2,4,7,6,9,8,11,Neutral,Strongly agree,Yes
Student,Bsc in Physical Therapy ,Undergraduate,3rd,Uasin Gishu,Public,Satisfied,Good,Excellent,Excellent,Excellent,Neutral,Good,Dissatisfied,Excellent,Parents/Family,,"Some guidance, but informal",Satisfied,Somewhat,Better understanding of academic demands,,Yes,Moderately important,Moderately important,Important,Important,Moderately important,Important,Very Important,Abroad,Likely,1,3,2,4,6,7,5,Yes,Sometimes,3,10,5,1,6,2,8,4,7,9,11,Neutral,Agree,Yes
Student,Health Records,Undergraduate,4th,Kiambu,Private for profit,Very satisfied,Excellent,Excellent,Excellent,Excellent,Excellent,Very Good,Very satisfied,Excellent,My own personal research,,"Some guidance, but informal",Very satisfied,Yes,More information on job prospects,,Yes,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,In my home country,Very unlikely,1,2,4,6,3,5,7,Yes,Sometimes,1,3,4,2,5,6,7,8,9,10,11,Neutral,Strongly agree,Yes
Student,Medicine and Surgery,Undergraduate,2nd,Nairobi,Public,Satisfied,Good,Good,Excellent,Neutral,Good,Neutral,Satisfied,Good,Other (please specify),Personal interest ,"No, I did not receive career guidance",,,,,Yes,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Undecided,Very likely,2,1,3,4,7,5,6,Yes,Never,2,5,6,1,3,4,7,8,10,9,11,Agree,Agree,Yes
Student,Medicine and Surgery,Undergraduate,3rd,Nairobi,Public,Neither satisfied nor dissatisfied,Good,Excellent,Excellent,Neutral,Poor,Poor,Neither satisfied nor dissatisfied,Poor,My own personal research,,"No, I did not receive career guidance",,,,,Yes,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Moderately important,Undecided,Likely,2,3,5,1,7,4,6,Yes,Sometimes,5,10,2,1,4,6,7,3,9,8,11,Neutral,Agree,No
Student,Clinical Medicine,Diploma,3rd,Kericho,Private not for profit (Faith Based),Very satisfied,Excellent,Good,Good,Good,Good,Good,Satisfied,Excellent,A healthcare professional or mentor,,"Some guidance, but informal",Neither satisfied nor dissatisfied,Yes,Better understanding of academic demands,,Yes,Very Important,Moderately important,Moderately important,Somewhat important,Moderately important,Important,Very Important,Undecided,Likely,2,3,5,1,6,7,4,Yes,Never,10,8,3,2,5,4,6,1,11,9,7,Agree,Agree,Yes
Student,Medicine and Surgery,Undergraduate,4th,Kisumu,Private for profit,Satisfied,Good,Excellent,Neutral,Good,Neutral,Poor,Dissatisfied,Neutral,Parents/Family,,"Some guidance, but informal",Neither satisfied nor dissatisfied,Somewhat,Exposure to healthcare professionals,,Yes,Important,Very Important,Important,Moderately important,Somewhat important,Moderately important,Somewhat important,Abroad,Very likely,1,2,5,3,4,6,7,Yes,Rarely,1,2,3,4,5,6,7,8,9,10,11,Agree,Strongly agree,Yes
Student,Clinical Medicine,Diploma,3rd,MurangÃ¡,Public,Satisfied,Good,Excellent,Excellent,Neutral,Good,Poor,Very dissatisfied,Neutral,Parents/Family,,"No, I did not receive career guidance",,,,,No,Not important,Not important,Moderately important,Not important,Very Important,Not important,Not important,Abroad,Very unlikely,6,4,1,3,5,7,2,No,Always,1,11,3,8,7,9,6,4,2,10,5,Strongly disagree,Agree,No
Student,Clinical Medicine,Undergraduate,3rd,Kisumu,Private not for profit (Faith Based),Satisfied,Good,Good,Good,Neutral,Good,Neutral,Satisfied,Excellent,A healthcare professional or mentor,,"Some guidance, but informal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student,Clinical Medicine,Undergraduate,4th,Kisumu,Private for profit,Satisfied,Good,Good,Neutral,Poor,Good,Very Poor,Very dissatisfied,Very Poor,Parents/Family,,"No, I did not receive career guidance",,,,,Yes,Very Important,Very Important,Very Important,Not important,Very Important,Very Important,Very Important,Abroad,Very likely,1,4,2,3,7,5,6,No,Rarely,2,8,1,3,4,5,7,6,9,10,11,Strongly disagree,Strongly agree,No
Student,Medicine and Surgery,Undergraduate,4th,Uasin Gishu,Public,Satisfied,Good,Excellent,Neutral,Neutral,Neutral,Poor,Neither satisfied nor dissatisfied,Neutral,My own personal research,,"Some guidance, but informal",Dissatisfied,No,Better understanding of academic demands,,Yes,Important,Very Important,Important,Not important,Somewhat important,Important,Important,In my home country,Neither likely nor unlikely,2,3,4,1,7,5,6,No,Sometimes,1,6,2,3,4,5,7,8,10,9,11,Agree,Neutral,No
Student,Clinical Medicine,Undergraduate,4th,Kiambu,Public,Satisfied,Good,Good,Good,Neutral,Neutral,Neutral,Dissatisfied,Neutral,Parents/Family,,"Some guidance, but informal",Dissatisfied,No,Information on remuneration and working conditions,,Yes,Important,Very Important,Very Important,Important,Moderately important,Very Important,Important,In my home country,unlikely,1,2,3,4,5,6,7,Not sure,Sometimes,5,11,1,4,8,6,7,9,3,2,10,Neutral,Agree,No
Student,Clinical Medicine,Undergraduate,4th,Kiambu,Public,Satisfied,Good,Good,Good,Good,Good,Good,Dissatisfied,Neutral,A healthcare professional or mentor,,"Some guidance, but informal",Satisfied,No,More information on job prospects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student,Clinical Medicine,Undergraduate,5th and above,Meru,Public,Neither satisfied nor dissatisfied,Good,Poor,Good,Good,Good,Poor,Dissatisfied,Poor,Parents/Family,,"No, I did not receive career guidance",,,,,Yes,Very Important,Very Important,Very Important,Moderately important,Very Important,Very Important,Very Important,Abroad,Very likely,3,4,2,1,7,5,6,No,Sometimes,1,4,3,6,9,8,7,5,10,2,11,Agree,Agree,No
Student,Medicine and Surgery,Undergraduate,5th and above,Uasin Gishu,Public,Neither satisfied nor dissatisfied,Neutral,Good,Neutral,Poor,Poor,Neutral,Dissatisfied,Neutral,A healthcare professional or mentor,,"Some guidance, but informal",Neither satisfied nor dissatisfied,No,Better understanding of academic demands,,Yes,Very Important,Very Important,Very Important,Moderately important,Important,Very Important,Important,Abroad,Very likely,3,2,1,5,7,4,6,Not sure,Rarely,1,11,5,2,4,6,9,3,7,8,10,Neutral,Agree,Not Sure
Student,Medicine and Surgery,Undergraduate,3rd,Nakuru,Public,Very satisfied,Excellent,Excellent,Good,Excellent,Good,Good,Satisfied,Good,Parents/Family,,"Some guidance, but informal",Satisfied,Yes,Better understanding of academic demands,,Yes,Important,Important,Very Important,Very Important,Important,Very Important,Important,In my home country,unlikely,1,2,3,5,7,4,6,Not sure,Sometimes,1,7,3,2,5,4,8,6,9,10,11,Neutral,Agree,Yes
Student,Medicine and Surgery,Undergraduate,3rd,Kiambu,Public,Satisfied,Good,Good,Good,Excellent,Neutral,Good,Satisfied,Excellent,My own personal research,,"Some guidance, but informal",Neither satisfied nor dissatisfied,Somewhat,Better understanding of academic demands,,Yes,Very Important,Important,Very Important,Important,Very Important,Very Important,Very Important,In my home country,Neither likely nor unlikely,4,5,3,2,6,1,7,Yes,Rarely,2,9,3,1,7,6,8,4,11,5,10,Neutral,Strongly agree,Not Sure
Student,Medicine and Surgery,Diploma,3rd,Nakuru,Public,Very satisfied,Excellent,Excellent,Excellent,Excellent,Excellent,Very Good,Very satisfied,Excellent,My own personal research,,"Yes, formal/structured guidance",Very satisfied,Yes,Exposure to healthcare professionals,,Yes,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,In my home country,unlikely,1,3,2,4,5,6,7,Yes,Never,1,4,2,3,6,5,7,8,9,10,11,Strongly agree,Strongly agree,Yes
Student,Medicine and Surgery,Undergraduate,5th and above,Uasin Gishu,Public,Satisfied,Excellent,Excellent,Excellent,Good,Good,Very Good,Satisfied,Good,Other (please specify),"It just came naturally, deep down I wanted to be a doctor, not from anyone's influence but throughout this journey, family, friends, mentors and health professionals have really played a role to how far I've reached.","Yes, formal/structured guidance",Satisfied,Yes,Better understanding of academic demands,,Yes,Very Important,Very Important,Very Important,Moderately important,Moderately important,Very Important,Very Important,In my home country,Likely,4,2,1,3,7,5,6,Yes,Never,6,7,5,3,4,1,2,8,11,9,10,Strongly agree,Strongly agree,Yes
